chinese_name,code_name,overridepartnerskilltextid,tribe,bpclass,pictorial_id,size,rarity,element_1,genuscategory,hp,melee_attack,remote_attack,defense,support,craftspeed,being_damage_multiplier,capture_probability,experience_multiplier,price,airresponse,slow_walking_speed,walking_speed,running_speed,riding_sprint_speed,handling_speed,isboss,istowerboss,battlebgm,ignoreleanback,ignoreblowaway,maxfullstomach,fullstomachdecreaserate,foodamount,viewingdistance,viewingangle,hearingrate,nocturnal,biologicalgrade,predator,edible,endurance,male_probability,fecundity,breathing_fire,watering,planting,generate_electricity,manual,collection,logging,mining,oilextraction_not_shown_in_game,pharmaceutical,cool_down,carry,pasture,power_score
炎魔羊,Baphomet,Baphomet,Baphomet,BOSS_Baphomet,-1,XL,4,Fire,Humanoid,95,150,100,85,100,100,20%,70%,10,4780,Boss,80,160,700,960,320,1,0,FieldBoss,0,0,300,1,4,25,90,1,1,9,1,1,100,50,590,1,0,0,0,2,0,0,1,0,0,0,2,0,430
暗魔羊,Baphomet_Dark,Baphomet_Dark,Baphomet_Dark,BOSS_Baphomet_Dark,-1,XL,5,Dark,Humanoid,95,150,105,85,100,100,20%,70%,10,4870,Boss,80,160,700,960,320,1,0,FieldBoss,0,0,300,1,4,25,90,1,1,9,1,1,100,50,580,0,0,0,0,2,0,0,1,0,0,0,2,0,435
喵丝特,Bastet,Bastet,Bastet,BOSS_Bastet,-1,S,1,Dark,FourLegged,70,70,60,70,100,100,40%,70%,10,1000,NotInterested,52,105,475,550,317,1,0,FieldBoss,0,0,100,1,1,25,90,1,1,9,0,1,100,50,1480,0,0,0,0,0,0,0,0,0,0,0,0,1,270
冰丝特,Bastet_Ice,Bastet_Ice,Bastet_Ice,BOSS_Bastet_Ice,-1,S,2,Ice,FourLegged,70,70,65,70,100,100,20%,70%,10,1010,NotInterested,52,105,475,550,317,1,0,FieldBoss,0,0,100,1,1,25,90,1,0,9,0,1,100,50,1440,0,0,0,0,0,0,0,0,0,0,1,0,1,275
does not appear in the game,BeardedDragon,BeardedDragon,BeardedDragon,BeardedDragon,-1,XL,0,Dragon,Dragon,100,100,100,100,100,100,20%,70%,10,9970,Boss,-1,-1,-1,-1,-1,1,0,FieldBoss,0,0,600,1,9,25,90,1,0,9,1,1,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400
灌木羊,BerryGoat,BerryGoat,BerryGoat,BOSS_BerryGoat,-1,M,3,Leaf,FourLegged,100,70,70,90,120,100,40%,70%,10,2510,NotInterested,70,70,400,550,235,1,0,FieldBoss,0,0,300,1,4,25,90,1,0,9,0,1,100,50,930,0,0,2,0,0,0,0,0,0,0,0,0,1,330
烽歌龙,BirdDragon,BirdDragon,BirdDragon,BOSS_BirdDragon,-1,XL,4,Fire,Bird,90,100,115,90,100,100,20%,70%,10,4360,Boss,100,350,700,950,475,1,0,FieldBoss,0,0,400,1,6,25,90,1,1,9,1,1,150,50,660,1,0,0,0,0,0,0,0,0,0,0,3,0,395
霜歌龙,BirdDragon_Ice,BirdDragon_Ice,BirdDragon_Ice,BOSS_BirdDragon_Ice,-1,XL,5,Ice,Bird,90,100,120,95,100,100,20%,70%,10,4610,Boss,100,350,700,950,475,1,0,FieldBoss,0,0,400,1,6,25,90,1,1,9,1,1,150,50,620,0,0,0,0,0,0,0,0,0,0,2,3,0,405
混沌骑士,BlackCentaur,BlackCentaur,BlackCentaur,BOSS_BlackCentaur,-1,XL,20,Dark,FourLegged,260,100,145,120,100,100,10%,70%,10,8930,Boss,100,350,900,1600,625,1,0,Legend,0,0,600,1,9,25,90,1,1,9,0,1,100,50,70,0,0,0,0,0,0,2,2,0,0,0,0,0,625
does not appear in the game,BlackFurDragon,BlackFurDragon,BlackFurDragon,BOSS_BlackFurDragon,-1,XL,10,Dark,Humanoid,130,100,130,110,100,100,20%,70%,10,8440,Boss,55,110,560,800,335,1,0,FieldBoss,0,0,525,1,8,25,90,1,1,9,1,1,100,50,0,0,0,0,0,0,0,0,0,0,0,0,3,0,470
魔渊龙,BlackMetalDragon,BlackMetalDragon,BlackMetalDragon,BOSS_BlackMetalDragon,-1,XL,9,Dragon,Monster,100,100,125,125,100,100,20%,70%,10,8200,Boss,100,150,600,900,375,1,0,FieldBoss,0,0,600,1,9,25,90,1,1,9,0,1,300,50,150,0,0,0,0,1,0,0,4,3,0,0,0,0,450
碧海龙,BlueDragon,BlueDragon,BlueDragon,BOSS_BlueDragon,-1,XL,7,Water,Fish,110,70,100,100,100,100,20%,70%,10,5600,Boss,75,150,600,900,350,1,0,FieldBoss,0,0,400,1,6,25,90,1,0,9,0,1,100,50,500,0,3,0,0,0,0,0,0,0,0,0,0,0,380
冲浪鸭,BluePlatypus,BluePlatypus,Blueplatypus,BOSS_Blueplatypus,-1,M,1,Water,Humanoid,60,80,80,60,100,100,40%,77%,10,1120,NotInterested,70,105,300,400,202,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1330,0,1,0,0,1,0,0,0,0,0,0,1,0,280
草莽猪,Boar,Boar,Boar,BOSS_Boar,-1,XL,1,Earth,FourLegged,80,100,70,70,100,100,40%,70%,10,1610,Boss,70,150,450,800,300,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,1,1,100,50,1130,0,0,0,0,0,0,0,1,0,0,0,0,0,320
does not appear in the game,BrownRabbit,BrownRabbit,BrownRabbit,BOSS_BrownRabbit,-1,XL,0,Earth,Humanoid,100,100,100,100,100,100,20%,70%,10,2350,Boss,-1,-1,-1,-1,-1,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,50,0,0,0,0,0,2,2,0,1,1,0,0,1,0,400
企丸王,CaptainPenguin,CaptainPenguin,CaptainPenguin,BOSS_CaptainPenguin,-1,XL,6,Water,Humanoid,95,70,95,95,100,100,40%,70%,10,5410,Boss,50,110,450,600,280,1,0,FieldBoss,0,0,525,1,8,25,90,1,0,9,0,1,100,50,520,0,2,0,0,2,0,0,2,0,0,2,2,0,355
green leaf rat,Carbunclo,Carbunclo,Carbunclo,BOSS_Carbunclo,-1,S,1,Leaf,Humanoid,75,70,70,70,100,100,40%,63%,10,1010,NotInterested,20,40,400,550,250,1,0,FieldBoss,0,0,100,1,1,25,90,1,0,9,0,1,100,50,1430,0,0,1,0,1,1,1,0,0,1,0,0,0,285
cat bat monster,CatBat,CatBat,CatBat,BOSS_CatBat,-1,XL,5,Dark,Humanoid,95,100,95,80,100,100,40%,70%,10,3810,Boss,80,140,400,550,270,1,0,FieldBoss,0,0,350,1,5,25,90,1,1,9,0,1,100,50,750,0,0,0,0,0,2,0,2,0,0,0,2,0,370
dark witch cat,CatMage,CatMage,CatMage,BOSS_CatMage,-1,XL,6,Dark,Humanoid,90,100,105,90,100,100,20%,70%,10,4120,Boss,70,145,440,620,292,1,0,FieldBoss,0,0,350,1,5,25,90,1,1,9,0,1,100,50,700,0,0,0,0,2,0,0,0,0,2,0,2,0,385
Night Mephit,CatVampire,CatVampire,CatVampire,BOSS_CatVampire,-1,XL,6,Dark,Humanoid,100,100,105,110,110,100,20%,70%,10,2100,Boss,60,100,550,700,325,1,0,FieldBoss,0,0,350,1,5,25,90,1,1,9,0,1,100,50,1010,0,0,0,0,0,0,0,0,0,3,0,0,0,415
Pipi Chicken,ChickenPal,ChickenPal,ChickenPal,BOSS_ChickenPal,-1,M,1,Normal,Bird,60,70,60,60,100,100,40%,105%,10,1000,NotInterested,50,50,375,550,212,1,0,FieldBoss,0,0,100,1,1,25,90,1,0,9,0,1,100,50,1500,0,0,0,0,0,1,0,0,0,0,0,0,1,250
Fried egg bird,ColorfulBird,ColorfulBird,ColorfulBird,BOSS_ColorfulBird,-1,XL,1,Normal,Bird,60,80,75,70,100,100,40%,70%,10,1090,Boss,30,60,300,550,170,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,1,1,100,50,1340,0,0,0,0,0,1,0,0,0,0,0,0,0,285
Boba Cow,CowPal,CowPal,CowPal,BOSS_CowPal,-1,M,2,Normal,FourLegged,90,100,50,80,100,100,20%,70%,10,2620,NotInterested,55,55,580,700,317,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,20,910,0,0,0,0,0,0,0,0,0,0,0,0,1,320
幻悦蝶,CuteButterfly,CuteButterfly,CuteButterfly,BOSS_CuteButterfly,-1,XL,4,Leaf,Bird,70,100,80,80,100,100,20%,70%,10,5700,NotInterested,30,150,550,700,350,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,50,490,0,0,2,0,0,0,0,0,0,1,0,0,0,330
玉藻狐,CuteFox,CuteFox,CuteFox,BOSS_CuteFox,-1,M,2,Normal,FourLegged,70,70,70,70,140,100,40%,91%,10,1000,NotInterested,30,60,350,450,190,1,0,FieldBoss,0,0,100,1,1,25,90,1,0,9,0,1,100,50,1450,0,0,0,0,0,1,0,0,0,0,0,0,1,280
遁地鼠,CuteMole,CuteMole,CuteMole,BOSS_CuteMole,-1,M,1,Earth,Humanoid,65,100,80,50,100,100,40%,70%,10,1360,NotInterested,30,60,300,550,240,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1220,0,0,0,0,1,0,0,1,0,0,0,1,0,295
黑鸦隐士,DarkCrow,DarkCrow,DarkCrow,BOSS_DarkCrow,-1,XL,3,Dark,Bird,75,80,95,80,100,100,20%,70%,10,1840,Boss,85,170,920,1200,545,1,0,FieldBoss,0,0,350,1,5,25,90,1,1,9,1,1,100,50,1080,0,0,0,0,0,0,1,0,0,0,0,0,0,330
does not appear in the game,DarkMutant,DarkMutant,DarkMutant,BOSS_DarkMutant,-1,XL,5,Dark,Humanoid,100,100,100,100,100,100,20%,70%,10,3960,Boss,100,150,550,700,350,1,0,FieldBoss,0,0,525,1,8,25,90,1,1,9,0,1,100,50,0,0,0,0,0,3,0,0,0,0,3,0,2,0,400
冥铠蝎,DarkScorpion,DarkScorpion,DarkScorpion,BOSS_DarkScorpion,-1,XL,9,Dark,Other,100,100,100,130,100,100,20%,70%,10,7050,Boss,100,200,1000,1200,600,1,0,FieldBoss,0,0,475,1,7,25,90,1,1,9,1,1,100,50,260,0,0,0,0,0,0,2,3,0,0,0,0,0,430
紫霞鹿,Deer,Deer,Deer,BOSS_Deer,-1,XL,4,Normal,FourLegged,95,70,80,80,100,100,40%,70%,10,2620,Boss,80,120,700,1000,390,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,0,1,100,50,920,0,0,0,0,0,0,2,0,0,0,0,0,0,325
祇岳鹿,Deer_Ground,Deer_Ground,Deer_Ground,BOSS_Deer_Ground,-1,XL,6,Earth,FourLegged,95,70,80,80,100,100,20%,70%,10,2680,Boss,80,120,700,1000,390,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,0,1,100,50,900,0,0,0,0,0,0,2,0,0,0,0,0,0,325
寐魔,DreamDemon,DreamDemon,DreamDemon,BOSS_DreamDemon,-1,XL,1,Dark,Humanoid,70,100,75,60,100,100,40%,70%,10,1330,NotInterested,70,140,300,550,220,1,0,FieldBoss,0,0,225,1,3,25,90,1,1,9,0,1,100,50,1230,0,0,0,0,1,1,0,0,0,0,0,1,0,305
碎岩龟,DrillGame,DrillGame,DrillGame,BOSS_DrillGame,-1,XL,5,Earth,FourLegged,80,80,95,120,100,100,20%,70%,10,2980,Boss,75,120,300,420,190,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,1,1,100,50,850,0,0,0,0,0,0,0,3,0,0,0,0,0,375
天擒鸟,Eagle,Eagle,Eagle,BOSS_Eagle,-1,XL,2,Normal,Bird,75,120,85,60,100,100,20%,70%,10,2010,Boss,100,200,600,700,400,1,0,FieldBoss,0,0,300,1,4,25,90,1,0,9,1,1,100,50,1030,0,0,0,0,0,2,0,0,0,0,0,0,0,340
伏特喵,ElecCat,ElecCat,ElecCat,BOSS_ElecCat,-1,S,1,Electricity,Humanoid,60,60,80,70,80,100,40%,77%,10,1030,NotInterested,40,80,350,500,270,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1410,0,0,0,1,1,0,0,0,0,0,0,1,0,270
does not appear in the game,ElecLion,ElecLion,ElecLion,BOSS_ElecLion,-1,XL,0,Electricity,FourLegged,100,100,110,70,100,100,20%,70%,10,4200,Boss,85,85,800,1000,442,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,0,1,100,50,0,2,0,0,0,0,0,0,0,0,0,0,0,0,380
精灵龙,FairyDragon,FairyDragon,FairyDragon,BOSS_FairyDragon,-1,XL,7,Dragon,Humanoid,110,80,80,90,100,100,20%,70%,10,5230,Boss,83,83,630,900,456,1,0,FieldBoss,0,0,400,1,6,25,90,1,0,9,0,1,130,50,540,0,0,0,0,0,0,2,0,0,0,0,0,0,360
水灵龙,FairyDragon_Water,FairyDragon_Water,FairyDragon_Water,BOSS_FairyDragon_Water,-1,XL,8,Dragon,Humanoid,115,80,80,95,100,100,20%,70%,10,5320,Boss,83,83,630,900,456,1,0,FieldBoss,0,0,400,1,6,25,90,1,0,9,0,1,130,50,530,0,3,0,0,0,0,2,0,0,0,0,0,0,370
does not appear in the game,FeatherOstrich,FeatherOstrich,FeatherOstrich,BOSS_FeatherOstrich,-1,XL,0,Earth,Other,100,100,100,100,100,100,20%,70%,10,4610,Boss,-1,-1,-1,-1,-1,1,0,FieldBoss,0,0,300,1,4,25,90,1,0,9,0,1,100,50,0,0,0,0,0,0,2,0,0,0,0,0,0,0,400
云海鹿,FengyunDeeper,FengyunDeeper,FengyunDeeper,BOSS_FengyunDeeper,-1,XL,3,Normal,FourLegged,110,110,110,90,100,100,20%,70%,10,2250,Boss,85,100,750,1150,417,1,0,FieldBoss,0,0,400,1,6,25,90,1,0,9,0,1,100,50,980,0,0,0,0,0,0,2,0,0,0,0,0,0,420
火麒麟,FireKirin,FireKirin,FireKirin,BOSS_FireKirin,-1,XL,6,Fire,FourLegged,100,110,95,90,100,100,20%,70%,10,6720,Boss,100,150,850,1400,500,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,0,1,100,50,360,2,0,0,0,0,0,1,0,0,0,0,0,0,395
邪麒麟,FireKirin_Dark,FireKirin_Dark,FireKirin_Dark,BOSS_FireKirin_Dark,-1,XL,7,Fire,FourLegged,100,110,95,90,100,100,20%,70%,10,7270,Boss,100,150,850,1400,500,1,0,FieldBoss,0,0,350,1,5,25,90,1,1,9,0,1,100,50,240,2,0,0,0,0,0,1,0,0,0,0,0,0,395
燎火鹿,FlameBambi,FlameBambi,FlameBambi,BOSS_FlameBambi,-1,S,2,Fire,FourLegged,75,100,70,75,100,100,40%,77%,10,2950,NotInterested,70,100,400,550,-1,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,50,1155,1,0,0,0,0,0,0,0,0,0,0,0,0,320
炽焰牛,FlameBuffalo,FlameBuffalo,FlameBuffalo,BOSS_FlameBuffalo,-1,XL,4,Fire,FourLegged,85,100,95,95,100,100,20%,70%,10,3520,Boss,87,87,600,900,343,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,0,1,100,50,790,2,0,0,0,0,0,1,0,0,0,0,0,0,375
花冠龙,FlowerDinosaur,FlowerDinosaur,FlowerDinosaur,BOSS_FlowerDinosaur,-1,XL,6,Leaf,Humanoid,110,90,85,90,150,100,40%,70%,10,3240,NotInterested,70,120,550,800,335,1,0,FieldBoss,0,0,400,1,6,25,90,1,0,9,0,1,100,50,820,0,0,2,0,0,0,2,0,0,0,0,0,0,375
雷冠龙,FlowerDinosaur_Electric,FlowerDinosaur_Electric,FlowerDinosaur_Electric,BOSS_FlowerDinosaur_Electric,-1,XL,7,Electricity,Humanoid,110,90,90,90,150,100,20%,70%,10,3380,NotInterested,70,120,550,800,335,1,0,FieldBoss,0,0,400,1,6,25,90,1,0,9,0,1,100,50,810,0,0,0,2,0,0,2,0,0,0,0,0,0,380
花丽娜,FlowerDoll,FlowerDoll,FlowerDoll,BOSS_FlowerDoll,-1,XL,8,Leaf,Humanoid,100,100,95,100,100,100,20%,70%,10,3590,NotInterested,100,150,550,700,350,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,50,780,0,0,3,0,2,2,0,0,0,2,0,1,0,395
波娜兔,FlowerRabbit,FlowerRabbit,FlowerRabbit,BOSS_FlowerRabbit,-1,M,1,Leaf,Humanoid,75,100,65,70,100,100,20%,70%,10,1220,NotInterested,100,100,400,550,250,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,50,1280,0,0,1,0,1,1,0,0,0,1,0,1,0,310
鲁米儿,FlyingManta,FlyingManta,FlyingManta,BOSS_FlyingManta,-1,XL,3,Water,Other,80,100,70,80,100,100,40%,77%,10,2860,NotInterested,30,150,550,700,350,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,50,870,0,1,0,0,0,0,0,0,0,0,0,1,0,330
焰巫狐,FoxMage,FoxMage,FoxMage,BOSS_FoxMage,-1,XL,6,Fire,Humanoid,90,50,110,80,120,100,20%,70%,10,1540,Boss,70,145,440,620,292,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,0,1,100,50,1160,2,0,0,0,3,0,0,0,0,0,0,2,0,330
壶小象,Ganesha,Ganesha,Ganesha,BOSS_Ganesha,-1,XL,1,Water,FourLegged,70,70,60,70,100,100,40%,91%,10,1000,NotInterested,30,60,300,400,180,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1490,0,1,0,0,0,0,0,0,0,0,0,0,0,270
猎狼,Garm,Garm,Garm,BOSS_Garm,-1,M,2,Normal,FourLegged,80,110,90,75,100,100,40%,70%,10,1920,Boss,90,180,800,1050,460,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,1,1,70,50,1060,0,0,0,0,0,1,0,0,0,0,0,0,0,355
噬魂兽,GhostBeast,GhostBeast,GhostBeast,BOSS_GhostBeast,-1,XL,6,Dark,FourLegged,75,50,105,80,100,100,20%,70%,10,1570,Boss,100,160,600,900,365,1,0,FieldBoss,0,0,225,1,3,25,90,1,1,9,1,1,100,50,1150,0,0,0,0,0,2,0,1,0,0,0,0,0,310
does not appear in the game,GoldenHorse,GoldenHorse,GoldenHorse,BOSS_GoldenHorse,-1,XL,0,Earth,FourLegged,100,100,100,100,100,100,20%,70%,10,7960,Boss,-1,-1,-1,-1,-1,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,0,0,1,100,50,0,0,0,0,0,0,2,0,0,3,0,0,0,0,400
铁拳猿,Gorilla,Gorilla,Gorilla,BOSS_Gorilla,-1,XL,5,Normal,Humanoid,90,110,95,90,100,100,20%,70%,10,2010,Boss,66,100,550,720,250,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,1,1,100,50,1040,0,0,0,0,1,0,2,0,0,0,0,3,0,385
does not appear in the game,GrassDragon,GrassDragon,GrassDragon,GrassDragon,-1,XL,0,Leaf,Humanoid,130,80,120,90,80,100,20%,70%,10,6510,Boss,-1,-1,-1,-1,-1,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,0,1,100,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,420
森猛犸,GrassMammoth,GrassMammoth,GrassMammoth,BOSS_GrassMammoth,-1,XL,8,Leaf,FourLegged,150,100,85,90,30,100,20%,70%,10,9450,NotInterested,100,135,430,700,282,1,0,FieldBoss,0,0,525,1,8,25,90,1,0,9,0,1,100,50,300,0,0,2,0,0,0,2,2,0,0,0,0,0,425
雪猛犸,GrassMammoth_Ice,GrassMammoth_Ice,GrassMammoth_Ice,BOSS_GrassMammoth_Ice,-1,XL,9,Ice,FourLegged,150,100,90,90,30,100,20%,70%,10,9710,NotInterested,100,135,430,700,282,1,0,FieldBoss,0,0,525,1,8,25,90,1,0,9,0,1,100,50,290,0,0,0,0,0,0,2,2,0,0,2,0,0,430
叶胖达,GrassPanda,GrassPanda,GrassPanda,BOSS_GrassPanda,-1,XL,6,Leaf,Humanoid,100,100,90,90,100,100,20%,70%,10,6200,Boss,50,100,500,800,275,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,0,1,100,50,430,0,0,2,0,2,0,2,0,0,0,0,3,0,380
雷胖达,GrassPanda_Electric,GrassPanda_Electric,GrassPanda_Electric,BOSS_GrassPanda_Electric,-1,XL,7,Electricity,Humanoid,100,100,100,100,100,100,20%,70%,10,6610,Boss,50,100,500,800,275,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,0,1,100,50,390,0,0,0,2,2,0,2,0,0,0,0,3,0,400
踏春兔,GrassRabbitMan,GrassRabbitMan,GrassRabbitMan,BOSS_GrassRabbitMan,-1,XL,8,Leaf,Humanoid,90,100,115,90,100,100,20%,70%,10,2200,Boss,50,195,500,700,275,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,50,990,0,0,2,0,3,3,2,0,0,0,0,2,0,395
does not appear in the game,GuardianDog,GuardianDog,GuardianDog,GuardianDog,-1,XL,0,Normal,FourLegged,90,80,80,90,110,100,20%,70%,10,1510,Boss,-1,-1,-1,-1,-1,1,0,FieldBoss,0,0,350,1,5,25,90,1,0,9,0,1,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340
雷冥鸟,HadesBird,HadesBird,HadesBird,BOSS_HadesBird,-1,XL,7,Dark,Bird,100,100,125,100,100,100,20%,70%,10,7840,Boss,100,100,700,1200,450,1,0,FieldBoss,0,0,525,1,8,25,90,1,1,9,1,1,170,50,190,0,0,0,0,0,0,0,0,0,0,0,3,0,425
疾风隼,HawkBird,HawkBird,HawkBird,BOSS_HawkBird,-1,S,3,Normal,Bird,100,100,95,80,100,100,40%,70%,10,6300,Boss,150,150,600,850,450,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,1,1,100,50,420,0,0,0,0,0,2,0,0,0,0,0,0,0,375
電棘鼠,Hedgehog,Hedgehog,Hedgehog,BOSS_Hedgehog,-1,S,1,Electricity,FourLegged,70,70,75,70,100,100,40%,84%,10,1060,NotInterested,30,60,400,550,215,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1370,0,0,0,1,0,0,0,0,0,0,0,0,0,285
冰刺鼠,Hedgehog_Ice,Hedgehog_Ice,Hedgehog_Ice,BOSS_Hedgehog_Ice,-1,XL,2,Ice,FourLegged,70,70,75,80,100,100,20%,70%,10,1070,NotInterested,30,60,400,550,215,1,0,FieldBoss,0,0,150,1,2,25,90,1,0,9,0,1,100,50,1360,0,0,0,0,0,0,0,0,0,0,1,0,0,295
铠格力斯,HerculesBeetle,HerculesBeetle,HerculesBeetle,BOSS_HerculesBeetle,-1,XL,8,Earth,Humanoid,120,100,100,120,100,100,20%,70%,10,6830,Boss,55,110,500,600,110,1,0,FieldBoss,0,0,400,1,6,25,90,1,0,9,0,1,100,85,340,0,0,1,0,1,0,3,0,0,0,0,3,0,440
严冬鹿,IceDeer,IceDeer,IceDeer,BOSS_IceDeer,-1,XL,4,Ice,FourLegged,100,80,85,110,100,100,20%,70%,10,2800,Boss,35,70,550,800,310,1,0,FieldBoss,0,0,475,1,7,25,90,1,0,9,0,1,100,50,880,0,0,0,0,0,0,2,0,0,0,2,0,0,375
blowing snow fox,IceFox,IceFox,IceFox,BOSS_IceFox,-1,XL,5,Ice,FourLegged,90,100,95,105,100,100,20%,70%,10,3730,NotInterested,65,130,600,750,315,1,0,FieldBoss,0,0,225,1,3,25,90,1,0,9,0,1,100,50,760,0,0,0,0,0,0,0,0,0,0,2,0,0,390
Winter Caller,IceHorse,IceHorse,IceHorse,BOSS_IceHorse,-1,XL,20,Ice,FourLegged,420,100,140,120,70,100,10%,70%,10,8440,Boss,120,120,1000,1600,440,1,0,Legend,0,0,475,1,7,25,90,1,0,9,0,1,300,50,120,0,0,0,0,0,0,0,0,0,0,4,0,0,780
