id,chinese_name,name,codename,overridenametextid,overridepartnerskilltextid,ispal,tribe,bpclass,variant,volume_size,rarity,element_1,element_2,genuscategory,organization,weapon,weaponequip,nocturnal,4d_total,hp,melee_attack,remote_attack,defense,support,speed_of_work,level_1,level_20,level_50,airresponse,endurance,slow_walking_speed,walking_speed,running_speed,riding_sprint_speed,being_damage_multiplier,catch_rate,experience_multiplier,price,must_bring_entry_1,must_bring_entry_2,numerical_description,lv1,lv2,lv3,lv4,lv5,skill_description
29,Boba Cow,Mozzarina,CowPal,,,1,EPalTribeID::CowPal,CowPal,,S,2,generally,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,320,90,100,50,80,100,100,0,0,0,Escape_to_Battle,100,55,55,580,0,100%,100%,100%,2620,,,Ranch skills,0,0,0,0,0,Assign it to Palu Ranch and it will have a chance to produce Milk.
30,Thorn Fairy,Bristla,LittleBriarRose,,,1,EPalTribeID::LittleBriarRose,LittleBriarRose,,S,1,Wood,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,320,80,80,80,80,100,100,0,0,0,Escape_to_Battle,100,50,100,400,0,100%,100%,100%,1140,,,Attack power bonus%,10,11,13,16,20,"If it is in the team, the elemental Leaf Palu's attack power will be increased."
31,Sharkboy,Gobfin,SharkKid,,,1,EPalTribeID::SharkKid,SharkKid,,S,2,water,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,345,90,90,90,75,100,100,0,0,0,Warlike,100,50,80,400,0,100%,100%,100%,1840,,,Skill power multiplier,1,1,1,2,2,"After being activated, it will attack the targeted enemy with extremely powerful WaterGun. If it is in the team, it will increase the player's attack power."
31,red shark,Gobfin Ignis,SharkKid_Fire,,,1,EPalTribeID::SharkKid_Fire,SharkKid_Fire,yes,S,3,fire,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,345,90,90,90,75,100,100,0,0,0,Warlike,100,50,80,400,0,100%,100%,100%,1800,,,Skill power multiplier,1,1,1,2,2,"After being activated, it will attack the targeted enemy with extremely powerful FireSeed. If it is in the team, it will increase the player's attack power."
32,Hanging spirit,Hangyu,WindChimes,,,1,EPalTribeID::WindChimes,WindChimes,,XS,1,land,,EPalGenusCategoryType::Other,EPalOrganizationType::None,EPalWeaponType::None,0,0,290,80,70,70,70,100,100,0,0,0,Escape_to_Battle,100,50,100,400,0,100%,100%,100%,1020,,,Paraglider maximum speed (gravity factor),0,0,0,0,0,"If it is in the party, it can be summoned in place of the paraglider. It lifts the player high into the air while gliding."
32,Icebound Spirit,Hangyu Crystal,WindChimes_Ice,,,1,EPalTribeID::WindChimes_Ice,WindChimes_Ice,yes,XS,2,ice,,EPalGenusCategoryType::Other,EPalOrganizationType::None,EPalWeaponType::None,0,0,300,80,70,80,70,100,100,0,0,0,Escape_to_Battle,100,50,100,400,0,100%,100%,100%,1020,,,Paraglider maximum speed (gravity factor),0,0,0,0,0,"If it is in the party, it can be summoned in place of the paraglider. It lifts the player high into the air while gliding."
33,Ye Panda,Mossanda,GrassPanda,,,1,EPalTribeID::GrassPanda,GrassPanda,,L,6,Wood,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,380,100,100,90,90,100,100,0,0,0,Warlike,100,50,100,500,700,100%,100%,100%,6200,,,Skill power,30,33,39,48,60,Can be moved around on its back. It can also continuously attack with a grenade launcher while riding.
33,Lei Panda,Mossanda Lux,GrassPanda_Electric,,,1,EPalTribeID::GrassPanda_Electric,GrassPanda_Electric,yes,L,7,electricity,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,400,100,100,100,100,100,100,0,0,0,Warlike,100,50,100,500,700,100%,100%,100%,6610,,,Skill power,30,33,39,48,60,Can be moved around on its back. It can also continuously attack with a grenade launcher while riding.
34,Marshmallow,Woolipop,SweetsSheep,,,1,EPalTribeID::SweetsSheep,SweetsSheep,,S,3,generally,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,300,70,70,70,90,100,100,0,0,0,Escape_to_Battle,100,50,100,300,0,100%,100%,100%,1450,,,Ranch skills,0,0,0,0,0,Assign it to Palu Ranch and it may drop Sweet.
35,bush sheep,Caprity,BerryGoat,,,1,EPalTribeID::BerryGoat,BerryGoat,,S,3,Wood,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,330,100,70,70,90,120,100,0,0,0,Escape_to_Battle,100,70,70,400,0,100%,100%,100%,2510,,,Ranch skills,0,0,0,0,0,Assign it to Palu Ranch and it will have a chance to drop Berries from its back.
36,Melupa,Melpaca,Alpaca,,,1,EPalTribeID::Alpaca,Alpaca,,M,3,generally,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,345,90,90,75,90,100,100,0,0,0,Escape_to_Battle,100,62,62,460,800,110%,100%,100%,2740,,,Ranch skills,0,0,0,0,0,Can be moved around on its back. Assign it to Palu Ranch and it will have a chance to drop Wool.
37,Zixia Deer,Eikthyrdeer,Deer,,,1,EPalTribeID::Deer,Deer,,L,4,generally,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,325,95,70,80,80,100,100,0,0,0,Escape_to_Battle,100,80,120,700,900,100%,100%,100%,2620,,,Logging bonus+,220,260,320,400,500,"Can be moved around on its back. You can perform two jumps while riding, and the efficiency of destroying trees will be higher."
37,Only a deer,Eikthyrdeer Terra,Deer_Ground,,,1,EPalTribeID::Deer_Ground,Deer_Ground,yes,L,6,land,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,325,95,70,80,80,100,100,0,0,0,Escape_to_Battle,100,80,120,700,900,100%,100%,100%,2680,,,Logging bonus+,220,260,320,400,500,"Can be moved around on its back. You can perform two jumps while riding, and the efficiency of destroying trees will be higher."
38,Swift Falcon,Nitewing,HawkBird,,,1,EPalTribeID::HawkBird,HawkBird,,L,3,generally,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,0,0,375,100,100,95,80,100,100,0,0,0,NotInterested,100,150,150,600,750,100%,100%,100%,6300,,,Moving speed%,0,10,12,15,20,You can ride on its back and fly in the air.
39,Ji Xiaotu,Ribunny,PinkRabbit,,,1,EPalTribeID::PinkRabbit,PinkRabbit,,XS,1,generally,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,310,75,100,65,70,100,100,0,0,0,Escape_to_Battle,100,50,100,245,0,100%,100%,100%,1160,,,Attack power bonus%,10,11,13,16,20,"If it is in the team, the attack power of the elemental Normal Palu will be increased. If it is in the stronghold, the efficiency of working in WeaponFactory_Dirty_01 will be improved."
40,Balrog Sheep,Incineram,Baphomet,,,1,EPalTribeID::Baphomet,Baphomet,,M,4,fire,dark,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,1,430,95,150,100,85,100,100,0,0,0,Warlike,100,80,160,700,0,100%,100%,100%,4780,,,Skill power multiplier,1,1,1,2,2,"After activation, it will attack the targeted enemy with the extremely powerful Unique_Baphomet_SwallowKite."
40,Dark Demon Sheep,Incineram Noct,Baphomet_Dark,,,1,EPalTribeID::Baphomet_Dark,Baphomet_Dark,yes,M,5,dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,1,435,95,150,105,85,100,100,0,0,0,Warlike,100,80,160,700,0,100%,100%,100%,4870,,,Skill power multiplier,1,1,1,2,2,"After activation, it will attack the targeted enemy with the extremely powerful Unique_Baphomet_Dark_SwallowKite."
41,Huan Yue Butterfly,Cinnamoth,CuteButterfly,,,1,EPalTribeID::CuteButterfly,CuteButterfly,,M,4,Wood,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,0,0,330,70,100,80,80,100,100,0,0,0,Escape_to_Battle,100,30,150,550,0,100%,100%,100%,5700,,,Skill power multiplier,1,1,1,2,2,"After activation, it will attack the targeted enemy with PoisonFog."
42,Blazing Ox,Arsox,FlameBuffalo,,,1,EPalTribeID::FlameBuffalo,FlameBuffalo,,M,4,fire,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,375,85,100,95,95,100,100,0,0,0,Warlike,100,87,87,600,800,100%,100%,100%,3520,,,Moving speed%,0,10,12,15,20,Can be moved around on its back. You won’t feel the chill while riding and it’s quite warm.
43,Pa Pa Pa Catfish,Dumud,LazyCatfish,,,1,EPalTribeID::LazyCatfish,LazyCatfish,,M,4,land,,EPalGenusCategoryType::Fish,EPalOrganizationType::None,EPalWeaponType::None,0,0,365,100,100,70,95,100,100,0,0,0,NotInterested,100,100,150,450,0,100%,100%,100%,4690,,,Attack power bonus%,10,11,13,16,20,"If it is in the team, the elemental Earth Palu's attack power will be increased."
44,Black Crow Hermit,Cawgnito,DarkCrow,,,1,EPalTribeID::DarkCrow,DarkCrow,,M,3,dark,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,0,1,330,75,80,95,80,100,100,0,0,0,NotInterested,100,85,170,920,0,100%,100%,100%,1840,,,Skill power multiplier,1,1,1,2,2,"After being activated, it will attack the targeted enemy with the extremely powerful Unique_DarkCrow_TelePoke."
45,punk lizard,Leezpunk,LizardMan,,,1,EPalTribeID::LizardMan,LizardMan,,S,2,dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,1,300,80,90,80,50,100,100,0,0,0,Warlike,100,100,140,600,0,100%,100%,100%,1720,,,distance,10000,11000,13000,16000,20000,"After activation, the sixth sense can be activated to detect the location of nearby dungeons."
45,Hot-blooded lizard,Leezpunk Ignis,LizardMan_Fire,,,1,EPalTribeID::LizardMan_Fire,LizardMan_Fire,yes,S,3,fire,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,300,80,90,80,50,100,100,0,0,0,Warlike,100,100,140,400,0,100%,100%,100%,1640,,,distance,10000,11000,13000,16000,20000,"After activation, the sixth sense can be activated to detect the location of nearby dungeons."
46,Moonscythe Demon,Loupmoon,Werewolf,,,1,EPalTribeID::Werewolf,Werewolf,,M,3,dark,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,1,390,80,130,100,80,100,100,0,0,0,Warlike,100,100,150,600,0,100%,100%,100%,2400,,,Skill power multiplier,1,1,1,2,2,"After activation, it will attack the targeted enemy with extremely powerful Unique_Werewolf_Scratch."
47,Tianqinniao,Galeclaw,Eagle,,,1,EPalTribeID::Eagle,Eagle,,M,2,generally,,EPalGenusCategoryType::Bird,EPalOrganizationType::None,EPalWeaponType::None,0,0,340,75,120,85,60,100,100,0,0,0,Warlike,100,100,200,600,0,100%,100%,100%,2010,,,Paraglider maximum speed (gravity factor),0,0,0,0,0,"If it is in the party, it can be summoned in place of the paraglider. While gliding, your right hand will be free, so you can hold a gun and shoot."
48,Feather Archer,Robinquill,RobinHood,,,1,EPalTribeID::RobinHood,RobinHood,,M,5,Wood,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,375,90,100,105,80,100,100,0,0,0,Warlike,100,100,100,600,0,100%,100%,100%,2050,,,Weakness bonus %,20,22,26,32,40,"When fighting alongside it, players will be able to deal more damage to enemy weak points."
48,mountain shooter,Robinquill Terra,RobinHood_Ground,,,1,EPalTribeID::RobinHood_Ground,RobinHood_Ground,yes,M,6,Wood,land,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,375,90,100,105,80,100,100,0,0,0,Warlike,100,100,100,600,0,100%,100%,100%,2150,,,Weakness bonus %,20,22,26,32,40,"When fighting alongside it, players will be able to deal more damage to enemy weak points."
49,Iron Fist Ape,Gorirat,Gorilla,,,1,EPalTribeID::Gorilla,Gorilla,,S,5,generally,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,385,90,110,95,90,100,100,0,0,0,Warlike,100,66,100,550,0,100%,100%,100%,2010,rough,,Attack power bonus%,50,75,110,150,200,"After activation, the power of wildness will be released and Gorilla's attack power will be increased for a certain period of time."
50,knight bee,Beegarde,SoldierBee,,,1,EPalTribeID::SoldierBee,SoldierBee,,M,4,Wood,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,360,80,100,90,90,100,100,0,0,0,Warlike,100,125,250,450,0,100%,100%,100%,1880,,,Queen Bee Attack and Defense Bonus%,12,13,15,19,24,"Assign it to Palu Ranch and it will have a chance to drop Honey. If it is in the team, QueenBee's attributes will be improved."
51,queen bee,Elizabee,QueenBee,,,1,EPalTribeID::QueenBee,QueenBee,,L,8,Wood,,EPalGenusCategoryType::Humanoid,EPalOrganizationType::None,EPalWeaponType::None,0,0,395,90,100,105,100,100,100,0,0,0,Warlike,100,150,250,450,0,100%,100%,100%,6830,,,Attack power bonus%,0,5,6,7,8,"When fighting alongside it, the more SoldierBees there are in the team, the more its attributes will improve."
52,Laughing Nightmare Cat,Grintale,NaughtyCat,,,1,EPalTribeID::NaughtyCat,NaughtyCat,,L,6,generally,,EPalGenusCategoryType::FourLegged,EPalOrganizationType::None,EPalWeaponType::None,0,0,370,110,100,80,80,100,100,0,0,0,Friendly,100,32,64,600,800,100%,100%,100%,5510,,,Elemental power bonus%_Normal,50,55,65,80,100,Can be moved around on its back. Elemental Normal attacks during riding will be strengthened.
53,Mao duster,Swee,MopBaby,,,1,EPalTribeID::MopBaby,MopBaby,,XS,1,ice,,EPalGenusCategoryType::Other,EPalOrganizationType::None,EPalWeaponType::None,0,0,280,60,100,60,60,100,100,0,0,0,Escape_to_Battle,100,55,100,250,0,130%,110%,100%,1180,,,Daddy Mao's attack and defense bonus%,12,13,15,19,24,"If it is in the team, MopKing's attributes will be improved."
54,Dad Mao,Sweepa,MopKing,,,1,EPalTribeID::MopKing,MopKing,,L,6,ice,,EPalGenusCategoryType::Other,EPalOrganizationType::None,EPalWeaponType::None,0,0,380,100,100,90,90,100,100,0,0,0,Escape_to_Battle,100,60,120,300,500,100%,100%,100%,6400,,,Attack power bonus%,0,5,6,7,8,"Can be moved around on its back. When fighting alongside it, the more MopBabys in the team, the more its attributes will improve."
