id,name,min_level,max_level,source
124,Teng Yanlong,40.0,45.0,min_level_table
125,Qingque,42.0,45.0,min_level_table
126,Suzaku,40.0,45.0,min_level_table
127,Lightning Bear,18.0,22.0,min_level_table
128,lily queen,40.0,45.0,min_level_table
129,black moon queen,49.0,49.0,min_level_table
130,Horus,40.0,45.0,min_level_table
131,Pollux,40.0,45.0,min_level_table
132,Heterogeneous Griffin,40.0,45.0,min_level_table
133,Knight of Light,50.0,50.0,min_level_table
134,Chaos Knight,50.0,50.0,min_level_table
135,Winter Caller,50.0,50.0,min_level_table
136,Vortex Dragon,50.0,50.0,min_level_table
