id,english_name,chinese_name,volume_size,food_intake,night_shift,total_skills,make_a_fire,watering,planting,generate_electricity,manual,collection,logging,mining,pharmaceutical,cool_down,pasture,carry,handling_speed,ranch_items,pasture_minimum_output,the_largest_ranch_rank__partner_skill_level
93,Sibelyx,silk moth,big,5,,5,0,0,0,0,0,0,0,0,2,2,1,0,0,high quality cloth,1,Rank
94,Elphidran,Faerie Dragon,big,6,,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,
95,Elphidran Aqua,Water Spirit Dragon,big,6,,5,0,3,0,0,0,0,2,0,0,0,0,0,0,,0,
96,Kelpsea Ignis,Huo Linger,smallest,1,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,
97,Kelpsea,Shui Linger,smallest,1,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,
98,Azurobe,Bihailong,big,6,,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,
99,Cryolinx,Ice Thorn Beast,big,7,,6,0,0,0,0,1,0,2,0,0,3,0,0,0,,0,
100,Blazehowl,Hellfire King,big,7,,5,3,0,0,0,0,0,2,0,0,0,0,0,0,,0,
101,Blazehowl Noct,Hell King,big,7,yes,5,3,0,0,0,0,0,2,0,0,0,0,0,0,,0,
102,Relaxaurus,Pecorone,maximum,7,,3,0,2,0,0,0,0,0,0,0,0,0,1,150,,0,
103,Relaxaurus Lux,Parker,maximum,7,,4,0,0,0,3,0,0,0,0,0,0,0,1,150,,0,
104,Broncherry,Lian Lilong,maximum,7,,3,0,0,3,0,0,0,0,0,0,0,0,0,0,,0,
105,Broncherry Aqua,Allother,maximum,7,,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,
106,Petallia,Hualina,medium,3,,10,0,0,3,0,2,2,0,0,2,0,0,1,350,,0,
107,Reptyro,Lava Beast,big,5,,6,3,0,0,0,0,0,0,3,0,0,0,0,0,,0,
108,Ice Reptyro,Frost Beast,big,5,,6,0,0,0,0,0,0,0,3,0,3,0,0,0,,0,
109,Kingpaca,King Melupa,maximum,7,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,
110,Ice Kingpaca,Ice Emperor Melpa,maximum,7,,4,0,0,0,0,0,1,0,0,0,3,0,0,0,,0,
111,Mammorest,Mammoth,maximum,8,,6,0,0,2,0,0,0,2,2,0,0,0,0,0,,0,
112,Mammorest Cryst,snow mammoth,maximum,8,,6,0,0,0,0,0,0,2,2,0,2,0,0,0,,0,
113,Wumpo Botan,Green Moss Velvet,big,8,,10,0,0,1,0,2,0,3,0,0,0,0,4,150,,0,
114,Wumpo,White Velvet Snow Monster,big,8,,11,0,0,0,0,2,0,3,0,0,2,0,4,150,,0,
115,Warsect,Kaigres,big,6,,8,0,0,1,0,1,0,3,0,0,0,0,3,110,,0,
116,Fenglope,Cloud sea deer,Small,6,,2,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,
117,Felbat,Night Mephit,medium,5,yes,3,0,0,0,0,0,0,0,0,3,0,0,0,0,,0,
118,Quivern,Tianyulong,big,4,,8,0,0,0,0,1,2,0,2,0,0,0,3,470,,0,
119,Blazamut,Flame Glory,maximum,9,,7,3,0,0,0,0,0,0,4,0,0,0,0,0,,0,
120,Helzephyr,Thunderbird,big,8,yes,3,0,0,0,0,0,0,0,0,0,0,0,3,450,,0,
121,Astegon,Demon Dragon,maximum,9,yes,5,0,0,0,0,1,0,0,4,0,0,0,0,0,,0,
122,Menasting,Dark Armored Scorpion,big,7,yes,5,0,0,0,0,0,0,2,3,0,0,0,0,0,,0,
123,Anubis,Anubis,medium,6,,9,0,0,0,0,4,0,0,3,0,0,0,2,480,,0,
124,Jormuntide Ignis,Teng Yanlong,maximum,7,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,
125,Jormuntide,Sea-covering dragon,maximum,7,,4,0,4,0,0,0,0,0,0,0,0,0,0,0,,0,
126,Suzaku,Suzaku,maximum,8,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,0,
127,Suzaku Aqua,Qingque,maximum,8,,3,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,
128,Grizzbolt,Lightning Bear,big,7,,10,0,0,0,3,2,0,2,0,0,0,0,3,210,,0,
129,Lyleen,lily queen,big,6,,12,0,0,4,0,3,2,0,0,3,0,0,0,0,,0,
130,Lyleen Noct,black moon queen,big,6,,8,0,0,0,0,3,2,0,0,3,0,0,0,0,,0,
131,Faleris,Horus,big,8,,6,3,0,0,0,0,0,0,0,0,0,0,3,500,,0,
132,Orserk,Pollux,big,7,,9,0,0,0,4,2,0,0,0,0,0,0,3,250,,0,
133,Shadowbeak,Heterogeneous Griffin,big,8,yes,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,
134,Paladius,Knight of Light,big,9,,4,0,0,0,0,0,0,2,2,0,0,0,0,0,,0,
135,Necromus,Chaos Knight,big,9,yes,4,0,0,0,0,0,0,2,2,0,0,0,0,0,,0,
136,Frostallion,Winter Caller,big,7,,4,0,0,0,0,0,0,0,0,0,4,0,0,0,,0,
137,Frostallion Noct,Night Caller,big,7,yes,4,0,0,0,0,0,4,0,0,0,0,0,0,0,,0,
138,Jetragon,Vortex Dragon,maximum,9,,3,0,0,0,0,0,3,0,0,0,0,0,0,0,,0,
