id,name,min_level,max_level,fecundity,refresh_type,night_only,refresh_area,source
32,Hanging spirit,14.0,40.0,0,,,,min_level_table
32,Icebound Spirit,33.0,35.0,0,,,,min_level_table
33,Ye Panda,25.0,29.0,0,,,,min_level_table
33,Lei Panda,31.0,37.0,0,,,,min_level_table
34,Marshmallow,14.0,19.0,0,,,,min_level_table
35,bush sheep,6.0,41.0,0,,,,min_level_table
36,Melupa,5.0,17.0,0,,,,min_level_table
37,Only a deer,18.0,22.0,0,,,,min_level_table
37,Zixia Deer,6.0,13.0,0,,,,min_level_table
38,Swift Falcon,9.0,40.0,0,,,,min_level_table
39,Ji Xiaotu,2.0,19.0,0,,,,min_level_table
40,Dark Demon Sheep,40.0,45.0,0,,,,min_level_table
40,Balrog Sheep,29.0,38.0,0,,,,min_level_table
41,Huan Yue Butterfly,18.0,29.0,0,,,,min_level_table
42,Blazing Ox,9.0,39.0,0,,,,min_level_table
43,Pa Pa Pa Catfish,14.0,38.0,0,,,,min_level_table
44,Black Crow Hermit,12.0,40.0,0,,,,min_level_table
45,Hot-blooded lizard,15.0,38.0,0,,,,min_level_table
45,punk lizard,29.0,40.0,0,,,,min_level_table
46,Moonscythe Demon,12.0,29.0,0,,,,min_level_table
47,Tianqinniao,9.0,29.0,0,,,,min_level_table
48,Feather Archer,21.0,29.0,0,,,,min_level_table
48,mountain shooter,30.0,40.0,0,,,,min_level_table
49,Iron Fist Ape,18.0,29.0,0,,,,min_level_table
50,knight bee,20.0,25.0,0,,,,min_level_table
51,queen bee,28.0,31.0,0,,,,min_level_table
52,Laughing Nightmare Cat,17.0,29.0,0,,,,min_level_table
53,Mao duster,7.0,27.0,0,,,,min_level_table
54,Dad Mao,11.0,32.0,0,,,,min_level_table
55,Whirling Weasel,11.0,45.0,0,,,,min_level_table
56,thunder wildebeest,7.0,31.0,0,,,,min_level_table
57,blowing snow fox,28.0,32.0,0,,,,min_level_table
58,fire unicorn,29.0,38.0,0,,,,min_level_table
58,evil unicorn,32.0,38.0,0,,,,min_level_table
59,Deer in severe winter,25.0,45.0,0,,,,min_level_table
60,thunder dog,30.0,40.0,0,,,,min_level_table
61,Blue Flame Wolf,28.0,32.0,0,,,,min_level_table
62,Thunder Boy,29.0,40.0,0,,,,min_level_table
63,Mystia,32.0,45.0,0,,,,min_level_table
64,Thunder Guanlong,35.0,47.0,0,,,,min_level_table
64,Corolla dragon,10.0,39.0,0,,,,min_level_table
65,water-sliding snake,14.0,26.0,0,,,,min_level_table
65,quicksand snake,30.0,40.0,0,,,,min_level_table
66,Soul Eater,36.0,45.0,0,,,,min_level_table
67,Rock Crusher Turtle,17.0,40.0,0,,,,min_level_table
68,cat bat monster,5.0,45.0,0,,,,min_level_table
69,fraternity lizard,18.0,40.0,0,,,,min_level_table
70,Rong Yan Niang,9.0,38.0,0,,,,min_level_table
71,Fenggelong,10.0,40.0,0,,,,min_level_table
71,Frost Song Dragon,36.0,45.0,0,,,,min_level_table
72,Wave Blade Samurai,23.0,45.0,0,,,,min_level_table
73,Thunderbird,29.0,40.0,0,,,,min_level_table
74,Flamingo,34.0,38.0,0,,,,min_level_table
75,dark witch cat,20.0,29.0,0,,,,min_level_table
76,Flame Witch Fox,16.0,38.0,0,,,,min_level_table
77,spring rabbit,35.0,45.0,0,,,,min_level_table
78,Verita,18.0,38.0,0,,,,min_level_table
79,silk moth,36.0,45.0,0,,,,min_level_table
80,Faerie Dragon,18.0,45.0,0,,,,min_level_table
81,Huo Linger,9.0,38.0,0,,,,min_level_table
81,Shui Linger,9.0,19.0,0,,,,min_level_table
82,Bihailong,17.0,22.0,0,,,,min_level_table
83,Ice Thorn Beast,36.0,45.0,0,,,,min_level_table
84,Hell King,33.0,38.0,0,,,,min_level_table
84,Hellfire King,34.0,38.0,0,,,,min_level_table
85,Pecorone,15.0,20.0,0,,,,min_level_table
85,Parker,31.0,31.0,0,,,,min_level_table
86,Allother,30.0,30.0,0,,,,min_level_table
86,Lian Lilong,17.0,23.0,0,,,,min_level_table
87,Hualina,18.0,28.0,0,,,,min_level_table
88,Frost Beast,42.0,45.0,0,,,,min_level_table
88,Lava Beast,34.0,38.0,0,,,,min_level_table
89,King Melupa,23.0,45.0,0,,,,min_level_table
89,Ice Emperor Melpa,46.0,46.0,0,,,,min_level_table
90,snow mammoth,41.0,45.0,0,,,,min_level_table
90,Mammoth,30.0,40.0,0,,,,min_level_table
91,Green Moss Velvet,38.0,45.0,0,,,,min_level_table
91,White Velvet Snow Monster,41.0,45.0,0,,,,min_level_table
92,Kaigres,30.0,45.0,0,,,,min_level_table
93,Cloud sea deer,15.0,45.0,0,,,,min_level_table
94,Night Mephit,20.0,31.0,0,,,,min_level_table
95,Tianyulong,23.0,45.0,0,,,,min_level_table
96,Flame Glory,40.0,49.0,0,,,,min_level_table
97,Thunderbird,24.0,28.0,0,,,,min_level_table
98,Demon Dragon,40.0,48.0,0,,,,min_level_table
99,Dark Armored Scorpion,40.0,45.0,0,,,,min_level_table
100,Anubis,47.0,47.0,0,,,,min_level_table
101,Sea-covering dragon,45.0,45.0,0,,,,min_level_table
101,Teng Yanlong,40.0,45.0,0,,,,min_level_table
102,Qingque,42.0,45.0,0,,,,min_level_table
102,Suzaku,40.0,45.0,0,,,,min_level_table
103,Lightning Bear,18.0,22.0,0,,,,min_level_table
104,lily queen,40.0,45.0,0,,,,min_level_table
104,black moon queen,49.0,49.0,0,,,,min_level_table
105,Horus,40.0,45.0,0,,,,min_level_table
106,Pollux,40.0,45.0,0,,,,min_level_table
107,Heterogeneous Griffin,40.0,45.0,0,,,,min_level_table
108,Knight of Light,50.0,50.0,0,,,,min_level_table
109,Chaos Knight,50.0,50.0,0,,,,min_level_table
110,Winter Caller,50.0,50.0,0,,,,min_level_table
111,Vortex Dragon,50.0,50.0,0,,,,min_level_table
